iter	Passed	Remaining
0	113	113342
1	313	156569
2	498	165673
3	607	151344
4	706	140540
5	834	138283
6	978	138795
7	1111	137774
8	1248	137469
9	1366	135248
10	1490	134046
11	1642	135220
12	1780	135212
13	2012	141711
14	2153	141403
15	2274	139894
16	2393	138412
17	2531	117	49918	2675	118	51419	2826	138490
20	2948	120	53921	3052	121	54922	3146	133675
23	3259	132539
24	3387	132114
25	3500	131129
26	3622	130536
27	3718	129083
28	3858	129190
29	3987	128930
30	4098	130	65331	4198	131	66432	4313	132	67833	4408	133	68934	4511	134	69935	4626	135	70936	4729	136	71837	4819	137	73138	4938	138	74239	5050	139	75140	5128	140	76141	5240	141	77342	5339	142	78343	5444	143	79644	5571	144	80945	5672	145	81846	5767	146	82747	5866	147	83748	5993	148	85049	6084	149	85950	6170	150	86851	6254	151	87752	6353	152	88853	6448	153	8973	157196
54	90555	6616	155	91456	6745	156	92357	6844	157	93158	6968	111134
59	7095	111168
60	7190	110690
61	7285	110220
62	7387	109880
63	7489	109530
64	7567	108862
65	7642	108149
66	7746	107869
67	7852	107625
68	7936	107078
69	8050	106956
70	8153	106683
71	8246	106286
72	8362	106196
73	8454	105794
74	8563	105621
75	8651	105185
76	8737	104740
77	8853	104655
78	8969	104571
79	9075	104369
80	9159	103917
81	9255	103619
82	9359	103406
83	9461	103176
84	9589	103233
85	9690	102994
86	9784	102677
87	9880	102395
88	10001	102372
89	10107	102199
90	10221	102102
91	10329	101951
92	10448	101905
93	10540	101590
94	10653	101489
95	10755	101277
96	10856	101063
97	10961	100892
98	11057	100635
99	11145	100309
100	11268	100304
101	11379	100180
102	11471	99898
103	11619	100108
104	11721	99912
105	11838	99841
106	11926	99535
107	12015	99236
108	12114	99026
109	12215	98836
110	12316	98643
111	12421	98485
112	12559	98586
113	12676	98524
114	12791	98438
115	12873	98108
116	12975	97925
117	13097	97898
118	13203	97747
119	13304	97566
120	13415	97456
121	13556	97563
122	13654	97359
123	13745	97102
124	13842	96897
125	13933	96652
126	14042	96529
127	14137	96313
128	14220	96018
129	14325	95873
130	14444	95816
131	14533	95565
132	14611	95249
133	14716	95105
134	14831	95032
135	14921	94795
136	14994	94455
137	15110	94383
138	15215	94245
139	15294	93954
140	15373	93659
141	15437	93275
142	15506	92927
143	15579	92612
144	15681	92469
145	15782	92315
146	15860	92033
147	15931	91713
148	16002	91394
149	16068	91054
150	16155	90833
151	16217	90478
152	16316	90327
153	16383	90002
154	16473	89804
155	16566	89629
156	16647	89386
157	16712	89063
158	16779	88752
159	16839	88408
160	16917	88162
161	16976	87819
162	17053	87566
163	17118	87264
164	17194	87013
165	17289	86862
166	17354	86565
167	17425	86297
168	17496	86032
169	17576	85815
170	17666	85647
171	17735	85379
172	17819	85183
173	17899	84969
174	17991	84818
175	18080	84649
176	18145	84373
177	18207	84082
178	18267	83784
179	18348	83586
180	18445	83462
181	18542	83337
182	18624	83148
183	18685	82868
184	18780	82736
185	18857	82526
186	18944	82360
187	19010	82107
188	19079	81869
189	19144	81614
190	19221	81414
191	19287	81168
192	19360	80953
193	19425	80705
194	19485	80440
195	19551	80199
196	19643	80070
197	19731	79921
198	19785	79640
199	19857	79429
200	19926	79210
201	20021	79093
202	20086	78861
203	20140	78587
204	20219	78412
205	20288	78199
206	20354	779202207	20444	778203208	20522	776204209	20612	775205210	20696	773206211	20786	772207212	20862	770208213	20923	768209214	21037	768210215	21121	766211216	21206	765212	23735	87699
213	23833	87536
214	23908	87293
215	23999	87108
216	24081	86893
217	24153	86642
218	24279	86584
219	24391	86478
220	24473	86265
221	24588	86171
222	24703	86075
223	24803	85927
224	24930	85870
225	25034	85737
226	25123	85553
227	25222	85403
228	25327	85274
229	25419	85098
230	25529	84989
231	25612	84787
232	25699	84598
233	25766	84347
234	25841	84122
235	25926	83931
236	26015	83754
237	26108	83590
238243	23765	736239244	23874	735240245	23964	734241246	24044	733242247	24138	731243248	24241	73113
249	24336	73008
250	24442	72938
251	24502	72728
252	24608	72659
253	24715	72589
254	24800	72456
255	24910	72396
256	25012	72312
257	25088	72154
258	25179	72038
259	25283	71959
260	25382	71868
261	25460	71716
262	25527	71535
263	25616	71415
264	25720	71338
265	25816	71238
266	25983	71332
267	26074	71217
268	26168	71111
269	26243	70954
270	26328	70825
271	26398	70653
272	26511	70601
273	26624	70545
274	26733	70480
275	26856	70449
276	26941	70320
277	27042	70231
278	27132	70115
279	27227	70012
280	27303	69861
281	27426	69831
282	27527	69742
283	27631	69662
284	27765	69658
285	27860	69554
286	27929	69386
287	28014	69257
288	28135	69220
289	28226	69106
290	28325	69013
291	28417	68902
292	28506	68784
293	28580	68631
294	28659	68492
295	28769	68424
296	28873	68343
297	28964	68231
298	29074	68164
299	29177	68081
300	29289	68018
301	29379	67903
302	29477	67808
303	29577	67716
304	29692	67660
305	29775	67530
306	29856	67396
307	29933	67252
308	29996	67078
309	30096	66988
310	30200	66906
311	30310	66839
312	30412	66752
313	30493	66620
314	30553	66442
315	30654	66352
316	30774	66306
317	30868	66202
318	30947	66067
319	31049	65979
320	31168	65929
321	31238	65774
322	31350	65709
323	31417	65549
324	31512	65449
325	31584	65301
326	31656	65152
327	31772	65095
328	31851	64960
329	31947	64862
330	32035	64748
331	32103	64593
332	32189	64475
333	32278	64363
334	32396	64309
335	32516	64257
336	32686	64305
337	32811	64263
338	32901	64153
339	32987	64034
340	33081	63932
341	33170	63818
342	33251	63692
343	33352	63602
344	33432	63473
345	33517	63353
346	33624	63275
347	33714	63166
348	33834	63113
349	33940	63032
350	34033	62928
351	34140	62850
352	34250	62776
353	34361	62703
354	34442	62578
355	34535	62473
356	34626	62365
357	34732	62285
358	34876	62273
359	34977	62182
360	35083	62100
361	35175	61995
362	35257	61870
363	35326	61724
364	35419	61619
365	35526	61540
366	35606	61414
367	35694	61301
368	35796	61212
369	35899	61126
370	35992	61021
371	36084	60916
372	36154	60774
373	36232	60646
374	36324	60540
375	36395	60401
376	36477	60279
377	36557	60155
378	36640	60035
379	36759	59976
380	36880	59918
381	36987	59837
382	37091	59753
383	37168	59625
384	37239	59486
385	37312	59352
386	37411	59259
387	37503	59154
388	37605	59066
389	37688	58948
390	37776	58838
391	37872	58740
392	37958	58628
393	38062	58542
394	38166	58457
395	38260	58357
396	38337	58229
397	38427	58124
398	38535	58044
399	38644	57966
400	38741	57871
401	38837	57773
402	38933	57676
403	39029	57577
404	39129	57486
405	39219	57379
406	39298	57257
407	39384	57146
408	39487	57058
409	39577	56953
410	39682	56868
411	39790	56788
412	39862	56656
413	39969	56574
414	40064	56476
415	40157	56374
416	40237	56255
417	40334	56159
418	40429	56061
419	40513	55946
420	40601	55839
421	40674	55710
422	40770	55613
423	40865	55514
424	40941	55391
425	41024	55276
426	41105	55160
427	41194	55054
428	41284	54949
429	41423	54910
430	41531	54829
431	41609	54708
432	41709	54616
433	41808	54524
434	41908	54433
435	42015	54350
436	42111	54253
437	42204	54152
438	42299	54054
439	42398	53961
440	42475	53840
441	42569	53741
442	42656	53633
443	42744	53527
444	42824	53410
445	42907	53297
446	42995	53190
447	43092	53096
448	43176	52985
449	43280	52898
450	43350	52770
451	43432	52657
452	43517	52547
453	43605	52442
454	43697	52341
455	43788	52239
456	43893	52153
457	43993	52062
458	44072	51946
459	44163	51844
460	44242	51727
461	44308	51597
462	44394	51489
463	44489	51393
464	44580	51291
465	44669	51187
466	44762	51088
467	44860	50995
468	44959	50903
469	45062	50815
470	45148	50708
471	45231	50597
472	45314	50487
473	45415	50398
474	45527	50320
475	45604	50202
476	45690	50096
477	45823	50041
478	45922	49948
479	46015	49850
480	46104	49746
481	46190	49640
482	46273	49530
483	46369	49435
484	46480	49355
485	46612	49297
486	46705	49199
487	46787	49088
488	46907	49017
489	47011	48929
490	47118	48845
491	47211	48747
492	47284	48627
493	47387	48539
494	47473	48432
495	47580	48348
496	47684	48259
497	47761	48145
498	47872	48063
499	47966	47966
500	48060	47869
501	48167	47783
502	48256	47680
503	48330	47563
504	48374	47416
505	48453	47304
506	48512	47173
507	48566	47036
508	48618	46898
509	48685	46776
510	48756	46657
511	48810	46522
512	48886	46408
513	48975	46307
514	49041	46184
515	49100	46055
516	49158	45925
517	49225	45804
518	49295	45686
519	49375	45577
520	49466	45478
521	49534	45358
522	49593	45231
523	49695	45143
524	49754	45015
525	49807	44883
526	49866	44757
527	49920	44625
528	49976	44497
529	50035	44371
530	50091	44242
531	50173	44137
532	50233	44013
533	50298	43893
534	50375	43783
535	50428	43654
536	50482	43526
537	50546	43406
538	50600	43277
539	50674	43167
540	50736	43046
541	50805	42931
542	50863	42808
543	50917	42680
544	50989	42569
545	51052	42450
546	51114	42330
547	51161	42199
548	51224	42080
549	51295	41968
550	51365	41857
551	51411	41725
552	51469	41604
553	51541	41493
554	51599	41372
555	51666	41258
556	51730	41142
557	51782	41017
558	51843	40899
559	51904	40782
560	51949	40652
561	51996	40523
562	52047	40398
563	52102	40277
564	52156	40156
565	52212	40035
566	52280	39924
567	52356	39820
568	52407	39697
569	52461	39576
570	52521	39459
571	52573	39337
572	52637	39225
573	52697	39109
574	52751	38989
575	52815	38877
576	52883	38768
577	52931	38645
578	52996	38534
579	53056	38420
580	53112	38303
581	53180	38194
582	53247	38085
583	53311	37975
584	53382	37869
585	53441	37755
586	53523	37658
587	53588	37548
588	53632	37424
589	53701	37317
590	53748	37196
591	53802	37080
592	53854	36962
593	53911	36848
594	53983	36745
595	54051	36638
596	54111	36527
597	54170	36415
598	54228	36303
599	54277	36185
600	54338	36074
601	54407	35970
602	54483	35870
603	54549	35764
604	54615	35657
605	54679	35550
606	54740	35441
607	54797	35329
608	54859	35222
609	54914	35109
610	54973	34999
611	55051	34902
612	55103	34788
613	55149	34670
614	55205	34559
615	55249	34441
616	55304	34329
617	55350	34213
618	55409	34104
619	55459	33991
620	55506	33876
621	55554	33761
622	55624	33660
623	55671	33545
624	55727	33436
625	55793	33333
626	55872	33238
627	55941	33137
628	55999	33030
629	56058	32923
630	56122	32819
631	56172	32707
632	56227	32599
633	56285	32492
634	56340	32384
635	56401	32280
636	56460	32174
637	56518	32068
638	56571	31959
639	56623	31850
640	56672	31740
641	56727	31633
642	56791	31531
643	56844	31423
644	56901	31317
645	56964	31215
646	57015	31107
647	57067	30999
648	57124	30894
649	57192	30796
650	57250	30692
651	57331	30600
652	57386	30494
653	57437	30387
654	57497	30285
655	57549	30178
656	57631	30087
657	57695	29987
658	57764	29890
659	57841	29797
660	57899	29694
661	57945	29585
662	58010	29486
663	58074	29386
664	58140	29288
665	58200	29187
666	58256	29084
667	58335	28993
668	58398	28893
669	58478	28803
670	58542	28703
671	58595	28600
672	58640	28492
673	58708	28396
674	58763	28293
675	58815	28189
676	58861	28083
677	58918	27981
678	58982	27884
679	59065	27795
680	59132	27699
681	59189	27598
682	59265	27506
683	59319	27405
684	59375	27303
685	59430	27202
686	59486	27102
687	59555	27007
688	59599	26901
689	59654	26801
690	59714	26702
691	59772	26604
692	59825	26502
693	59865	26396
694	59924	26297
695	59987	26201
696	60059	26109
697	60107	26006
698	60165	25907
699	60234	25814
700	60316	25726
701	60382	25632
702	60442	25535
703	60494	25435
704	60555	25338
705	60618	25243
706	60678	25146
707	60753	25056
708	60823	24964
709	60890	24870
710	60945	24772
711	61003	24675
712	61065	24580
713	61119	24482
714	61187	24389
715	61248	24294
716	61311	24199
717	61377	24106
718	61446	24014
719	61498	23916
720	61558	23820
721	61609	23722
722	61669	23627
723	61734	23534
724	61788	23437
725	61839	23338
726	61887	23239
727	61936	23141
728	61985	23042
729	62029	22942
730	62088	22847
731	62138	22750
732	62200	22656
733	62260	22563
734	62328	22472
735	62393	22380
736	62443	22283
737	62512	22192
738	62608	22112
739	62688	22025
740	62750	21933
741	62816	21841
742	62881	21750
743	62932	21654
744	62983	21558
745	63055	21469
746	63109	21374
747	63168	21281
748	63221	21186
749	63284	21094
750	63353	21005
751	63412	20912
752	63458	20815
753	63510	20721
754	63568	20628
755	63623	20534
756	63686	20443
757	63746	20351
758	63807	20260
759	63868	20169
760	63916	20073
761	63990	19986
762	64047	19894
763	64100	19800
764	64150	19706
765	64207	19614
766	64279	19526
767	64344	19437
768	64396	19343
769	64452	19252
770	64509	19160
771	64565	19068
772	64620	18976
773	64712	18895
774	64782	18807
775	64861	18722
776	64936	18636
777	65014	18551
778	65095	18467
779	65174	18382
780	65270	18302
781	65346	18216
782	65419	18130
783	65514	18049
784	65601	17967
785	65677	17881
786	65742	17793
787	65801	17702
788	65854	17611
789	65914	17521
790	65971	17431
791	66027	17340
792	66081	17249
793	66144	17160
794	66198	17069
795	66250	16978
796	66312	16890
797	66362	16798
798	66411	16706
799	66463	16615
800	66516	16525
801	66578	16437
802	66633	16347
803	66684	16256
804	66745	16168
805	66795	16077
806	66850	15987
807	66894	15895
808	66949	15806
809	66997	15715
810	67039	15623
811	67080	15531
812	67121	15438
813	67181	15350
814	67240	15263
815	67335	15183
816	67382	15092
817	67428	15002
818	67468	14910
819	67515	14820
820	67567	14731
821	67626	14644
822	67681	14556
823	67739	14468
824	67793	14380
825	67841	14290
826	67897	14203
827	67949	14115
828	68008	14028
829	68083	13944
830	68120	13853
831	68161	13763
832	68197	13672
833	68236	13581
834	68276	13491
835	68318	13402
836	68362	13313
837	68408	13224
838	68453	13135
839	68516	13050
840	68553	12960
841	68595	12871
842	68636	12782
843	68674	12693
844	68719	12605
845	68761	12516
846	68803	12428
847	68844	12340
848	68889	12252
849	68926	12163
850	68958	12073
851	69002	11986
852	69052	11900
853	69096	11812
854	69138	11725
855	69193	11640
856	69234	11552
857	69277	11465
858	69317	11378
859	69364	11291
860	69409	11205
861	69462	11120
862	69504	11033
863	69605	10956
864	69669	10873
865	69708	10786
866	69747	10699
867	69793	10613
868	69840	10528
869	69879	10441
870	69920	10355
871	69967	10270
872	70007	10184
873	70044	10097
874	70087	10012
875	70139	9928
876	70209	9846
877	70261	9763
878	70318	9679
879	70368	9595
880	70425	9512
881	70479	9429
882	70544	9347
883	70597	9263
884	70645	9179
885	70693	9095
886	70740	9012
887	70800	8929
888	70855	8846
889	70915	8764
890	70968	8681
891	71018	8598
892	71063	8514
893	71105	8430
894	71148	8346
895	71186	8262
896	71236	8179
897	71285	8096
898	71337	8014
899	71398	7933
900	71440	7849
901	71485	7766
902	71527	7683
903	71569	7600
904	71610	7517
905	71650	7433
906	71688	7350
907	71734	7268
908	71780	7185
909	71823	7103
910	71867	7021
911	71915	6939
912	71961	6857
913	72012	6775
914	72055	6693
915	72095	6611
916	72135	6529
917	72164	6446
918	72192	6362
919	72225	6280
920	72302	6201
921	72392	6124
922	72476	6046
923	72531	5965
924	72580	5884
925	72636	5804
926	72693	5724
927	72751	5644
928	72812	5564
929	72863	5484
930	72924	5404
931	72981	5324
932	73032	5244
933	73078	5163
934	73128	5083
935	73170	5003
936	73223	4923
937	73273	4843
938	73321	4763
939	73362	4682
940	73396	4601
941	73434	4521
942	73465	4440
943	73499	4360
944	73535	4279
945	73566	4199
946	73599	4119
947	73631	4038
948	73669	3959
949	73703	3879
950	73749	3799
951	73784	3720
952	73833	3641
953	73865	3561
954	73901	3482
955	73938	3403
956	73972	3323
957	74011	3244
958	74040	3165
959	74068	3086
960	74096	3007
961	74134	2928
962	74166	2849
963	74193	2770
964	74223	2692
965	74251	2613
966	74284	2535
967	74315	2456
968	74349	2378
969	74386	2300
970	74421	2222
971	74453	2144
972	74481	2066
973	74517	1989
974	74550	1911
975	74583	1834
976	74611	1756
977	74639	1679
978	74669	1601
979	74710	1524
980	74736	1447
981	74771	1370
982	74810	1293
983	74855	1217
984	74895	1140
985	74933	1063
986	74962	987
987	75007	911
988	75044	834
989	75082	758
990	75126	682
991	75159	606
992	75203	530
993	75240	454
994	75276	378
995	75316	302
996	75347	226
997	75379	151
998	75412	75
999	75445	0
02	373
995	74439	298
996	74478	224
997	74521	149
998	74556	74
999	74592	0
7
995	73222	294
996	73263	220
997	73312	146
998	73358	73
999	73405	0
